"","sim","method","metric","observed","value","n","N"
"376",46,"Diffusion","sign","recoverable",0.4375,5,200
"377",47,"FiTree","mae","observed",0.0692223349345601,5,200
"378",47,"FiTree","mae","recoverable",0.0735880961472068,5,200
"379",47,"FiTree","sign","observed",1,5,200
"380",47,"FiTree","sign","recoverable",0.928571428571429,5,200
"381",47,"Diffusion","mae","observed",0.484811162779001,5,200
"382",47,"Diffusion","mae","recoverable",5.7188678909441,5,200
"383",47,"Diffusion","sign","observed",0.857142857142857,5,200
"384",47,"Diffusion","sign","recoverable",0.428571428571429,5,200
"385",48,"FiTree","mae","observed",0.0708786088840685,5,200
"386",48,"FiTree","mae","recoverable",0.0964256302677325,5,200
"387",48,"FiTree","sign","observed",0.909090909090909,5,200
"388",48,"FiTree","sign","recoverable",0.777777777777778,5,200
"389",48,"Diffusion","mae","observed",0.414387649250774,5,200
"390",48,"Diffusion","mae","recoverable",0.48702894149616,5,200
"391",48,"Diffusion","sign","observed",0.818181818181818,5,200
"392",48,"Diffusion","sign","recoverable",0.666666666666667,5,200
"393",49,"FiTree","mae","observed",0.678876956924049,5,200
"394",49,"FiTree","mae","recoverable",0.508612698435749,5,200
"395",49,"FiTree","sign","observed",1,5,200
"396",49,"FiTree","sign","recoverable",0.764705882352941,5,200
"397",49,"Diffusion","mae","observed",0.372651440737618,5,200
"398",49,"Diffusion","mae","recoverable",0.374335217686669,5,200
"399",49,"Diffusion","sign","observed",0.8,5,200
"400",49,"Diffusion","sign","recoverable",0.647058823529412,5,200
"401",50,"FiTree","mae","observed",0.0271720569312998,5,200
"402",50,"FiTree","mae","recoverable",0.102732865838517,5,200
"403",50,"FiTree","sign","observed",1,5,200
"404",50,"FiTree","sign","recoverable",0.866666666666667,5,200
"405",50,"Diffusion","mae","observed",0.493183442779693,5,200
"406",50,"Diffusion","mae","recoverable",5.60815199468993,5,200
"407",50,"Diffusion","sign","observed",0.75,5,200
"408",50,"Diffusion","sign","recoverable",0.466666666666667,5,200
